hour_of_day,day,row,col,demand
17,0,0,0,0
17,0,0,1,0
17,0,0,2,5
17,0,0,7,33
17,0,1,3,19
17,0,1,4,14
17,0,1,5,8
17,0,2,3,17
17,0,2,5,11
17,0,2,7,3
17,0,3,0,0
17,0,3,1,5
17,0,3,2,0
17,0,3,3,8
17,0,3,5,19
17,0,4,0,0
17,0,4,1,8
17,0,4,4,27
17,0,4,5,17
17,0,4,6,0
17,0,5,0,0
17,0,5,1,0
17,0,5,2,0
17,0,5,3,3
17,0,5,4,11
17,0,5,6,3
17,0,5,7,3
17,0,6,1,0
17,0,6,2,0
17,0,6,4,0
17,0,6,5,14
17,0,6,6,11
17,0,7,2,0
17,0,7,3,0
17,0,7,4,0
17,0,7,5,0
17,0,7,6,5
18,0,0,0,0
18,0,0,1,0
18,0,0,3,5
18,0,0,5,3
18,0,0,6,8
18,0,1,0,0
18,0,1,1,0
18,0,1,2,0
18,0,1,3,3
18,0,1,4,3
18,0,1,6,8
18,0,1,7,3
18,0,2,3,0
18,0,2,4,8
18,0,2,6,5
18,0,3,1,0
18,0,3,4,0
18,0,3,6,3
18,0,4,0,0
18,0,4,1,0
18,0,4,2,5
18,0,4,3,51
18,0,4,6,0
18,0,5,0,0
18,0,5,1,0
18,0,5,2,0
18,0,5,3,0
18,0,5,4,8
18,0,5,5,3
18,0,6,4,0
18,0,6,7,0
18,0,7,0,0
18,0,7,1,0
18,0,7,2,0
18,0,7,4,0
19,0,0,0,0
19,0,0,2,0
19,0,0,3,3
19,0,0,4,0
19,0,1,0,0
19,0,1,1,0
19,0,1,3,3
19,0,1,5,33
19,0,1,6,0
19,0,2,2,3
19,0,2,3,0
19,0,2,5,3
19,0,2,6,3
19,0,3,1,0
19,0,3,2,0
19,0,3,3,0
19,0,3,4,0
19,0,3,5,5
19,0,3,7,5
19,0,4,0,0
19,0,4,2,0
19,0,4,5,0
19,0,4,7,0
19,0,5,0,0
19,0,5,1,0
19,0,5,3,0
19,0,5,4,0
19,0,5,5,0
19,0,5,6,0
19,0,6,0,0
19,0,6,1,0
19,0,6,2,0
19,0,6,4,0
19,0,6,6,0
19,0,7,2,0
19,0,7,3,0
19,0,7,4,0
19,0,7,6,0
20,0,0,1,0
20,0,0,2,0
20,0,0,4,0
20,0,0,7,3
20,0,1,1,0
20,0,1,2,5
20,0,1,6,0
20,0,2,0,0
20,0,2,1,0
20,0,2,2,5
20,0,2,4,0
20,0,2,6,3
20,0,2,7,0
20,0,3,0,0
20,0,3,1,8
20,0,3,4,0
20,0,3,5,8
20,0,3,6,3
20,0,3,7,5
20,0,4,1,3
20,0,4,2,0
20,0,4,3,3
20,0,4,5,0
20,0,4,6,0
20,0,4,7,0
20,0,5,0,0
20,0,5,1,0
20,0,5,2,0
20,0,5,3,0
20,0,5,4,0
20,0,5,7,0
20,0,6,2,0
20,0,6,3,0
20,0,6,6,8
20,0,7,2,0
20,0,7,3,0
20,0,7,4,0
20,0,7,5,0
20,0,7,6,5
20,0,7,7,0
21,0,0,1,0
21,0,0,3,5
21,0,0,4,3
21,0,0,5,3
