time,row,col,demand
437,3,7,58
274,6,1,0
46,1,1,3
349,6,7,21
64,3,4,45
116,2,4,40
649,4,2,0
26,0,6,11
236,0,7,42
647,0,6,146
41,5,0,68
612,0,1,11
681,5,2,0
439,1,0,0
158,3,2,0
429,1,7,94
382,1,1,28
11,5,1,0
191,2,7,24
699,6,3,22
121,5,2,0
394,1,5,0
529,5,7,55
484,0,7,59
4,5,7,0
576,7,4,10
54,6,7,0
690,6,3,0
68,1,3,222
319,4,7,0
591,2,5,166
726,6,7,213
436,4,0,8
536,1,5,15
50,7,1,0
134,2,5,111
270,4,4,9
424,3,5,200
20,2,4,63
95,7,3,0
269,1,2,9
246,0,2,0
281,2,2,14
387,7,2,7
447,1,3,53
652,3,6,82
56,2,7,66
348,7,2,0
511,1,1,0
635,4,3,0
675,6,3,12
386,6,1,0
693,2,5,235
455,4,7,53
394,4,5,7
148,2,0,0
699,4,2,0
106,1,4,6
418,4,5,7
640,6,2,0
657,3,7,0
213,0,6,174
184,4,1,15
611,4,0,0
603,7,1,0
388,7,0,0
106,0,3,23
120,3,1,7
618,6,5,0
279,0,2,9
631,5,6,11
48,1,7,51
657,2,4,0
726,6,4,163
682,3,7,12
237,4,3,16
625,0,7,134
13,7,7,5
638,0,7,37
301,0,4,34
33,6,6,0
22,5,7,22
218,6,5,5
234,4,3,29
684,1,4,33
87,5,6,211
537,7,5,0
446,7,4,0
683,1,1,0
525,5,2,0
585,1,5,0
650,0,2,63
390,1,7,11
506,1,0,38
381,4,0,0
2,6,6,0
568,4,5,100
431,5,7,39
265,7,0,0
727,1,5,1629
668,7,5,31
492,0,2,28
89,3,0,0
40,2,7,201
283,3,0,0
96,5,6,10
361,4,7,35
412,6,6,12
204,1,2,8
317,6,0,0
552,7,3,0
438,1,6,20
94,1,1,0
595,1,3,210
49,4,0,0
665,2,7,192
202,2,5,28
455,5,7,111
366,5,3,7
461,7,3,0
148,5,7,0
456,1,1,21
520,1,5,281
617,3,0,0
37,0,1,9
30,6,1,0
553,5,1,0
188,6,0,0
726,1,3,930
48,3,0,0
635,2,7,0
281,5,5,41
285,1,5,38
647,4,4,134
391,5,7,7
681,0,0,0
687,7,4,0
248,4,3,5
452,2,3,45
125,7,6,0
696,0,3,134
328,5,0,0
648,4,2,12
88,6,3,16
36,2,0,0
461,0,2,27
494,6,7,64
125,2,2,0
113,6,1,0
486,5,3,0
48,2,1,0
592,6,3,17
148,3,7,4
270,6,5,9
359,7,1,0
77,6,3,0
374,3,1,0
648,2,2,102
413,2,5,87
486,0,2,8
218,7,4,5
30,4,1,0
677,5,1,0
207,2,1,0
304,7,6,9
133,4,3,21
384,7,7,7
128,3,1,0
268,4,7,18
19,4,5,292
721,0,0,14
661,4,1,39
32,5,5,18
337,7,3,21
487,1,0,0
622,5,5,149
167,2,2,30
130,3,5,139
372,6,1,0
57,5,6,72
688,4,3,41
461,4,7,21
674,2,6,354
668,0,5,192
355,6,2,0
398,5,3,11
500,2,5,167
710,4,0,0
352,4,0,0
235,4,2,0
383,2,3,170
536,4,6,0
18,7,1,0
384,4,6,614
319,0,5,0
541,1,4,71
202,4,6,16
662,2,2,82
137,6,0,0
364,7,6,0
89,0,4,73
57,2,1,0
657,1,5,0
696,5,6,125
594,3,7,159
301,7,1,0
72,3,4,26
587,4,6,0
23,2,1,0
197,3,3,5
81,5,6,53
82,7,0,0
636,7,5,0
126,7,5,0
553,2,4,126
131,1,5,289
670,7,7,20
5,4,4,0
366,1,0,0
35,1,0,0
176,6,1,0
448,0,4,25
285,1,6,52
396,6,3,23
236,7,7,8
67,5,3,12
569,3,6,158
226,7,6,0
542,5,7,31
712,2,2,0
720,4,4,73
30,2,5,0
370,4,2,0
340,5,4,17
676,0,3,107
227,6,1,0
344,3,7,0
358,5,1,0
55,5,2,0
361,1,4,148
316,2,2,10
470,0,0,13
57,7,5,0
564,4,7,16
258,0,7,62
619,2,7,75
333,7,4,6
602,6,6,0
316,7,4,10
525,2,7,129
446,4,3,8
327,3,2,20
661,1,3,172
2,7,6,0
247,4,1,0
2,5,5,0
244,1,7,14
486,7,3,0
493,3,4,109
653,0,6,31
116,3,3,33
617,0,3,46
617,3,7,64
618,0,5,92
9,2,3,237
371,4,3,17
346,6,2,17
461,0,3,34
131,2,2,66
382,3,4,92
679,7,2,0
666,5,1,0
543,2,2,144
359,4,6,318
58,0,5,130
450,2,5,66
161,6,2,0
142,4,7,31
709,2,1,0
628,3,2,30
147,6,1,0
726,7,1,0
458,4,4,117
102,1,5,6
527,2,4,137
332,4,2,0
499,1,5,167
140,1,4,66
455,6,1,0
559,1,6,0
375,7,2,0
150,2,5,4
201,6,4,0
328,4,4,42
253,3,0,0
10,6,1,0
143,0,4,42
22,1,2,14
407,7,7,23
92,2,6,227
583,6,3,10
594,5,1,0
358,7,0,0
680,1,3,12
126,4,6,0
445,4,2,0
613,1,2,46
118,4,6,20
381,2,3,50
66,6,1,15
606,2,2,11
412,4,5,39
634,1,0,0
570,3,3,68
670,0,7,267
359,5,0,6
406,1,4,227
614,1,3,46
16,6,6,0
364,2,6,103
79,1,6,6
649,6,6,39
563,7,6,10
682,6,7,0
282,6,2,0
322,0,2,0
41,1,7,670
